Risk Factor,Early Completion Dates,Project Result,Actual duration
1.2,"[0, 12, 20, 19, 16, 23, 31, 33, 30, 40, 47, 44]",Acceptable,405
1.0,"[0, 12, 16, 19, 17, 21, 27, 28, 28, 37, 42, 41]",Acceptable,395
0.8,"[0, 9, 15, 17, 13, 21, 26, 30, 27, 37, 42, 41]",Successful,348
1.2,"[0, 17, 23, 23, 22, 28, 35, 38, 33, 47, 50, 51]",Successful,385
0.8,"[0, 9, 14, 14, 13, 16, 22, 22, 22, 28, 34, 30]",Successful,356
1.4,"[0, 12, 20, 17, 16, 24, 30, 34, 32, 44, 50, 47]",Failed,427
1.4,"[0, 13, 20, 20, 19, 25, 31, 35, 33, 45, 53, 49]",Failed,443
1.0,"[0, 15, 20, 23, 19, 28, 34, 36, 35, 43, 51, 45]",Successful,381
1.4,"[0, 14, 22, 20, 17, 26, 33, 36, 34, 47, 55, 51]",Acceptable,408
0.8,"[0, 14, 20, 20, 17, 23, 31, 28, 28, 40, 45, 44]",Successful,347
1.2,"[0, 11, 18, 18, 15, 23, 30, 34, 29, 43, 47, 49]",Successful,378
0.8,"[0, 14, 19, 19, 19, 22, 27, 28, 27, 36, 42, 40]",Successful,342
1.4,"[0, 13, 20, 21, 18, 26, 33, 37, 33, 43, 49, 48]",Acceptable,425
0.8,"[0, 8, 14, 12, 12, 19, 26, 29, 23, 35, 39, 38]",Successful,370
1.0,"[0, 14, 21, 19, 19, 26, 33, 33, 31, 42, 49, 46]",Successful,387
1.4,"[0, 15, 22, 23, 20, 27, 34, 38, 34, 48, 56, 53]",Failed,433
1.0,"[0, 12, 16, 17, 15, 21, 26, 27, 29, 34, 37, 39]",Successful,372
1.4,"[0, 15, 22, 23, 19, 28, 34, 36, 33, 46, 55, 49]",Failed,451
1.2,"[0, 12, 19, 19, 16, 22, 29, 32, 27, 41, 48, 46]",Successful,376
1.2,"[0, 15, 22, 22, 18, 27, 35, 37, 31, 44, 49, 49]",Acceptable,412
1.2,"[0, 10, 17, 16, 15, 22, 27, 31, 28, 42, 49, 46]",Acceptable,421
1.4,"[0, 14, 21, 22, 20, 25, 31, 33, 33, 41, 45, 45]",Acceptable,419
1.0,"[0, 11, 17, 15, 15, 21, 27, 29, 28, 40, 47, 44]",Successful,370
